id,user_id,activity_type,activity,created_at,created_by
1,37,liked_quiz,"{""quiz_id"": 39}",2024-07-04 10:47:22,40
2,18,liked_quiz,"{""quiz_id"": 59}",2025-03-11 10:47:22,26
3,5,created_quiz,"{""quiz_id"": 56}",2024-10-24 10:47:22,80
4,93,updated_quiz,"{""quiz_id"": 87}",2024-09-17 10:47:22,96
5,43,created_quiz,"{""quiz_id"": 57}",2025-01-15 10:47:22,38
6,74,liked_quiz,"{""quiz_id"": 73}",2024-10-12 10:47:22,91
7,16,created_quiz,"{""quiz_id"": 102}",2024-12-04 10:47:22,7
8,51,created_quiz,"{""quiz_id"": 107}",2024-11-22 10:47:22,4
9,7,updated_quiz,"{""quiz_id"": 89}",2024-11-13 10:47:22,50
10,44,liked_quiz,"{""quiz_id"": 104}",2024-07-26 10:47:22,8
11,95,updated_quiz,"{""quiz_id"": 59}",2024-04-02 10:47:22,77
12,62,created_quiz,"{""quiz_id"": 97}",2024-11-11 10:47:22,41
13,56,liked_quiz,"{""quiz_id"": 72}",2024-04-05 10:47:22,16
14,62,updated_quiz,"{""quiz_id"": 20}",2024-04-16 10:47:22,31
15,60,created_quiz,"{""quiz_id"": 84}",2025-02-25 10:47:22,14
16,38,liked_quiz,"{""quiz_id"": 103}",2024-11-19 10:47:22,30
17,21,liked_quiz,"{""quiz_id"": 33}",2024-07-03 10:47:22,14
18,97,liked_quiz,"{""quiz_id"": 61}",2024-12-25 10:47:22,11
19,65,created_quiz,"{""quiz_id"": 2}",2024-06-23 10:47:22,4
20,47,liked_quiz,"{""quiz_id"": 16}",2024-03-25 10:47:22,12
21,82,liked_quiz,"{""quiz_id"": 99}",2024-07-23 10:47:22,86
22,82,liked_quiz,"{""quiz_id"": 31}",2024-06-13 10:47:22,56
23,92,updated_quiz,"{""quiz_id"": 59}",2024-06-27 10:47:22,49
24,4,created_quiz,"{""quiz_id"": 1}",2024-12-22 10:47:22,9
25,53,liked_quiz,"{""quiz_id"": 8}",2024-06-08 10:47:22,92
26,34,updated_quiz,"{""quiz_id"": 97}",2024-12-28 10:47:22,15
27,74,liked_quiz,"{""quiz_id"": 25}",2024-11-18 10:47:22,76
28,83,liked_quiz,"{""quiz_id"": 88}",2024-09-17 10:47:22,4
29,13,created_quiz,"{""quiz_id"": 96}",2024-04-27 10:47:22,81
