id,user_id,quiz_id,created_at,created_by
1,40,103,2024-12-23 10:47:22,40
2,52,88,2025-03-02 10:47:22,52
3,16,4,2024-08-22 10:47:22,16
4,43,87,2025-01-22 10:47:22,43
5,56,73,2024-09-01 10:47:22,56
6,12,33,2024-09-04 10:47:22,12
7,65,28,2024-07-03 10:47:22,65
8,29,4,2024-08-13 10:47:22,29
9,88,43,2024-04-26 10:47:22,88
10,20,15,2024-09-28 10:47:22,20
11,96,5,2025-01-13 10:47:22,96
12,39,51,2024-06-11 10:47:22,39
13,32,78,2024-04-13 10:47:22,32
14,34,113,2024-08-08 10:47:22,34
15,13,14,2024-05-10 10:47:22,13
16,74,32,2025-01-06 10:47:22,74
17,51,107,2024-04-20 10:47:22,51
18,26,27,2025-01-24 10:47:22,26
19,6,120,2024-12-17 10:47:22,6
20,86,87,2025-01-21 10:47:22,86
21,38,25,2024-07-02 10:47:22,38
22,15,7,2024-04-25 10:47:22,15
23,20,41,2024-12-17 10:47:22,20
24,35,62,2024-11-02 10:47:22,35
25,28,48,2025-03-06 10:47:22,28
26,6,52,2024-05-21 10:47:22,6
27,70,28,2024-10-26 10:47:22,70
28,66,101,2024-06-15 10:47:22,66
29,94,67,2024-08-07 10:47:22,94
30,68,60,2024-05-20 10:47:22,68
31,70,88,2024-08-04 10:47:22,70
32,14,54,2025-02-05 10:47:22,14
33,23,16,2024-09-12 10:47:22,23
34,28,103,2024-06-06 10:47:22,28
35,64,113,2025-02-16 10:47:22,64
36,68,95,2024-07-27 10:47:22,68
37,40,56,2024-03-24 10:47:22,40
38,32,37,2024-09-26 10:47:22,32
39,61,75,2025-01-15 10:47:22,61
40,30,5,2024-05-18 10:47:22,30
41,98,11,2024-07-21 10:47:22,98
42,16,30,2024-04-17 10:47:22,16
43,70,16,2024-09-21 10:47:22,70
44,94,85,2024-06-03 10:47:22,94
45,89,113,2024-12-08 10:47:22,89
46,53,95,2024-10-08 10:47:22,53
47,36,107,2024-09-01 10:47:22,36
48,64,116,2024-10-05 10:47:22,64
49,8,34,2024-06-11 10:47:22,8
50,93,108,2025-01-02 10:47:22,93
51,44,81,2024-04-10 10:47:22,44
52,25,84,2025-02-06 10:47:22,25
53,51,62,2024-08-15 10:47:22,51
54,53,24,2024-08-09 10:47:22,53
55,73,95,2024-11-12 10:47:22,73
56,79,46,2024-09-24 10:47:22,79
57,18,36,2024-12-29 10:47:22,18
58,83,57,2024-12-13 10:47:22,83
59,7,19,2024-03-20 10:47:22,7
60,95,56,2024-10-14 10:47:22,95
61,71,93,2024-10-25 10:47:22,71
62,83,85,2024-12-16 10:47:22,83
63,58,65,2024-05-06 10:47:22,58
64,97,7,2024-09-08 10:47:22,97
65,23,77,2024-07-19 10:47:22,23
66,100,66,2025-01-05 10:47:22,100
67,85,55,2024-09-24 10:47:22,85
68,46,69,2024-12-16 10:47:22,46
69,47,19,2025-03-04 10:47:22,47
70,14,112,2025-01-07 10:47:22,14
71,17,48,2025-03-02 10:47:22,17
72,58,4,2024-05-19 10:47:22,58
73,62,108,2025-01-15 10:47:22,62
74,50,51,2025-01-12 10:47:22,50
75,55,114,2024-07-29 10:47:22,55
76,75,21,2024-08-14 10:47:22,75
77,79,37,2024-06-21 10:47:22,79
78,44,13,2024-12-13 10:47:22,44
79,63,91,2024-05-11 10:47:22,63
80,90,116,2025-01-22 10:47:22,90
81,49,72,2024-06-05 10:47:22,49
82,84,16,2024-07-22 10:47:22,84
83,97,119,2025-01-21 10:47:22,97
84,21,39,2024-08-24 10:47:22,21
85,48,75,2024-11-22 10:47:22,48
86,22,26,2024-10-24 10:47:22,22
87,55,55,2024-12-20 10:47:22,55
88,3,16,2024-06-26 10:47:22,3
89,13,95,2025-01-03 10:47:22,13
90,26,89,2024-12-16 10:47:22,26
91,28,7,2024-12-26 10:47:22,28
92,46,119,2024-12-20 10:47:22,46
93,64,29,2025-01-15 10:47:22,64
94,66,100,2024-09-13 10:47:22,66
95,30,49,2024-11-18 10:47:22,30
96,92,104,2024-09-07 10:47:22,92
97,52,50,2024-05-23 10:47:22,52
98,55,45,2024-07-05 10:47:22,55
99,66,120,2024-05-24 10:47:22,66
100,76,93,2024-06-05 10:47:22,76
101,68,70,2025-02-01 10:47:22,68
102,2,8,2024-09-16 10:47:22,2
103,16,56,2024-06-29 10:47:22,16
104,86,57,2025-01-02 10:47:22,86
105,62,96,2024-04-07 10:47:22,62
106,17,53,2024-06-06 10:47:22,17
107,44,120,2024-08-13 10:47:22,44
108,17,50,2024-09-28 10:47:22,17
109,59,17,2024-11-16 10:47:22,59
110,25,108,2024-11-02 10:47:22,25
111,17,120,2025-02-12 10:47:22,17
112,31,57,2024-07-02 10:47:22,31
113,14,106,2024-12-22 10:47:22,14
114,20,82,2024-06-04 10:47:22,20
115,86,11,2024-07-25 10:47:22,86
116,87,89,2024-04-22 10:47:22,87
117,23,88,2024-09-11 10:47:22,23
118,84,35,2024-03-22 10:47:22,84
119,55,67,2024-07-14 10:47:22,55
120,12,63,2025-01-18 10:47:22,12
121,31,80,2025-02-28 10:47:22,31
122,71,83,2024-04-16 10:47:22,71
123,61,23,2025-01-04 10:47:22,61
124,98,13,2025-03-06 10:47:22,98
125,26,103,2025-03-04 10:47:22,26
126,44,7,2024-08-01 10:47:22,44
127,11,70,2024-06-08 10:47:22,11
128,1,14,2024-04-04 10:47:22,1
129,98,26,2024-06-06 10:47:22,98
130,67,29,2025-01-03 10:47:22,67
