id,user_id,quiz_id,score,created_at,created_by
1,54,32,81,2024-11-19 10:47:22,54
2,10,94,13,2024-08-08 10:47:22,10
3,100,73,82,2024-12-28 10:47:22,100
4,7,94,60,2024-10-02 10:47:22,7
5,22,23,95,2024-12-29 10:47:22,22
6,72,58,90,2024-08-22 10:47:22,72
7,7,89,3,2025-02-02 10:47:22,7
8,18,27,50,2024-11-08 10:47:22,18
9,51,68,47,2024-03-29 10:47:22,51
10,40,83,82,2024-07-16 10:47:22,40
11,75,85,48,2025-01-30 10:47:22,75
12,48,117,13,2024-08-10 10:47:22,48
13,82,3,4,2024-11-11 10:47:22,82
14,33,81,44,2024-12-12 10:47:22,33
15,61,59,35,2024-12-16 10:47:22,61
16,26,52,95,2024-07-28 10:47:22,26
17,23,92,80,2024-11-16 10:47:22,23
18,58,14,21,2024-05-29 10:47:22,58
19,78,20,81,2024-11-13 10:47:22,78
20,81,54,16,2024-08-30 10:47:22,81
21,1,19,97,2024-04-10 10:47:22,1
22,10,120,72,2024-07-01 10:47:22,10
23,5,58,11,2024-11-16 10:47:22,5
24,25,96,90,2024-09-23 10:47:22,25
25,35,49,92,2024-10-16 10:47:22,35
26,21,85,47,2024-11-04 10:47:22,21
27,63,104,45,2024-11-24 10:47:22,63
28,99,22,93,2024-09-10 10:47:22,99
29,15,98,65,2024-12-08 10:47:22,15
30,5,15,60,2024-03-29 10:47:22,5
31,40,20,57,2024-11-26 10:47:22,40
32,20,56,3,2024-07-15 10:47:22,20
33,92,81,29,2024-12-29 10:47:22,92
34,64,116,26,2025-03-05 10:47:22,64
35,26,89,61,2024-05-04 10:47:22,26
36,98,105,16,2024-06-17 10:47:22,98
37,63,94,56,2024-09-08 10:47:22,63
38,2,51,79,2024-09-27 10:47:22,2
39,88,87,38,2024-08-19 10:47:22,88
40,73,53,72,2024-10-02 10:47:22,73
41,54,13,55,2025-01-07 10:47:22,54
42,11,104,34,2024-12-25 10:47:22,11
43,84,40,31,2025-01-27 10:47:22,84
44,12,16,45,2024-10-05 10:47:22,12
45,90,52,0,2025-03-02 10:47:22,90
46,45,47,23,2024-09-17 10:47:22,45
47,26,64,52,2024-03-31 10:47:22,26
48,26,77,14,2024-09-21 10:47:22,26
49,26,22,13,2024-08-21 10:47:22,26
50,35,91,2,2024-03-23 10:47:22,35
51,95,66,48,2024-08-23 10:47:22,95
52,64,91,85,2024-03-31 10:47:22,64
53,36,8,55,2024-05-25 10:47:22,36
54,31,41,37,2024-12-01 10:47:22,31
55,86,107,59,2025-02-14 10:47:22,86
56,13,84,26,2024-11-23 10:47:22,13
57,81,52,9,2025-01-05 10:47:22,81
58,100,37,80,2024-11-24 10:47:22,100
59,23,114,28,2024-04-27 10:47:22,23
60,60,112,97,2024-05-20 10:47:22,60
61,100,117,50,2024-08-10 10:47:22,100
62,92,61,0,2024-03-22 10:47:22,92
63,68,6,52,2024-09-13 10:47:22,68
64,19,58,71,2025-02-23 10:47:22,19
65,41,57,54,2024-12-11 10:47:22,41
66,69,73,58,2024-10-26 10:47:22,69
67,8,49,65,2024-04-12 10:47:22,8
68,18,102,79,2024-04-24 10:47:22,18
69,33,14,15,2024-06-30 10:47:22,33
70,64,96,9,2024-10-15 10:47:22,64
71,12,41,82,2024-08-29 10:47:22,12
72,66,74,13,2025-01-06 10:47:22,66
73,57,12,60,2025-03-17 10:47:22,57
